,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-22.25329036039895,21.140817898206933,-21.371374595223333,20.946943758457596,-0.8819157651756154,1.3360815581873438,-1.7097099676178666,1.6757555006766076,-1.7638315303512309,2.6721631163746875,1.7097099676178666,1.6757555006766076,328.9922795473782,443.89534563894796,2992513.7747629522,90.42436235708003,9096.0,8760.5,0.0,1.0
1,2,-19.30031447064163,19.019863283389288,-18.066046219615114,18.78507817223326,-1.2342682510265184,1.6586216957033706,-1.445283697569209,1.5028062537786606,-2.4685365020530368,3.317243391406741,1.445283697569209,1.5028062537786606,444.14680545882663,524.9827597051943,4039959.342453487,86.29067722075638,9096.0,8760.5,0.0,1.0
2,3,-18.226658784237284,18.8341588210852,-16.84223078028583,18.622356846917178,-1.384428003951451,1.8133359581879145,-1.3473784624228664,1.489788547753374,-2.768856007902902,3.626671916375829,1.3473784624228664,1.489788547753374,477.66676167493216,521.3811380424041,4344856.864195183,85.32321899736148,9096.0,8760.333333333334,0.0,1.0
3,4,-17.90685324245597,17.85568711627841,-16.569761871251927,17.588360428618298,-1.3370913712040418,1.887188307411711,-1.3255809497001543,1.4070688342894637,-2.6741827424080835,3.774376614823422,1.3255809497001543,1.4070688342894637,450.9500151016259,531.1966821617712,4101841.3373643896,87.13720316622691,9096.0,8760.5,0.0,1.0
4,5,-21.28728009488951,21.47032132801808,-19.947987128531754,21.142168572817045,-1.33929296635776,1.8172224690728547,-1.5958389702825402,1.6913734858253633,-2.67858593271552,3.6344449381457093,1.5958389702825402,1.6913734858253633,463.5684214839278,528.092557029516,4428005.562014478,87.63609715242882,9552.0,8760.333333333334,0.0,1.0
5,6,-18.2019208408444,18.381839142646903,-16.880451270838396,18.128371572934334,-1.3214695700060037,1.7785611319888388,-1.3504361016670718,1.4502697258347466,-2.6429391400120075,3.5571222639776776,1.3504361016670718,1.4502697258347466,459.90378850215365,524.9194744654015,4183284.8602155894,85.19129287598945,9096.0,8760.333333333334,0.0,1.0
6,7,-17.819643571192124,18.067572727397305,-16.42666575824258,17.857143600463154,-1.3929778129495425,1.8181426734276298,-1.3141332606594067,1.4285714880370521,-2.785955625899085,3.6362853468552596,1.3141332606594067,1.4285714880370521,485.8773933390653,537.4110623981426,4419540.769812138,85.24626209322778,9096.0,8760.333333333334,0.0,1.0
7,8,-17.24433331749365,17.570294882119732,-15.783430634286523,17.41671007721147,-1.4609026832071277,1.881107588784221,-1.2626744507429217,1.3933368061769176,-2.9218053664142554,3.762215177568442,1.2626744507429217,1.3933368061769176,507.24995469027255,545.6616136416196,4613945.587862719,84.61961301671064,9096.0,8760.5,0.0,1.0
8,9,-16.722668098823707,17.28965111148168,-15.294526598620939,17.13130487618099,-1.4281415002027669,1.926633651662237,-1.2235621278896753,1.3705043900944793,-2.8562830004055337,3.853267303324474,1.2235621278896753,1.3705043900944793,487.7566122046005,547.7851106072104,4436634.144613046,84.89445910290237,9096.0,8760.333333333334,0.0,1.0
9,10,-15.751765877236629,16.196783069960173,-14.157499121783646,16.11692245803211,-1.5942667554529852,1.9763271514719274,-1.1325999297426916,1.2893537966425688,-3.1885335109059705,3.952654302943855,1.1325999297426916,1.2893537966425688,548.7743515341565,561.3388745871297,4991651.5015546875,84.39973614775725,9096.0,8760.5,0.0,1.0
10,11,-14.737396395811736,14.876009777752982,-13.040973539529814,14.842931779334627,-1.6964228562819217,2.052259353320082,-1.0432778831623852,1.1874345423467703,-3.3928457125638434,4.104518706640164,1.0432778831623852,1.1874345423467703,577.2931214159961,568.2616738803526,5251058.2323999,82.49780123131046,9096.0,8760.333333333334,0.0,1.0
11,12,-14.926128046462695,14.697386486112052,-13.308872413063142,14.562504158450325,-1.6172556333995531,2.00832290909332,-1.0647097930450513,1.165000332676026,-3.2345112667991063,4.01664581818664,1.0647097930450513,1.165000332676026,551.4266043099802,558.0875217525689,5015776.3928035805,83.71811785400176,9096.0,8760.333333333334,0.0,1.0
12,13,-17.08559362554766,18.808858989863026,-15.405084375253526,18.684798748785447,-1.6805092502941337,1.9904058022469189,-1.2324067500202822,1.4947838999028356,-3.3610185005882673,3.9808116044938378,1.2324067500202822,1.4947838999028356,584.042286658219,565.4182670198982,5578771.922159309,84.27554438860972,9552.0,8760.333333333334,0.0,1.0
13,14,-13.141997355431693,12.55728129475747,-11.323162173584347,12.528130451002571,-1.8188351818473447,2.0419007516466587,-0.9058529738867477,1.0022504360802058,-3.6376703636946894,4.0838015032933175,0.9058529738867477,1.0022504360802058,626.594619071108,567.5886676925038,5699504.6550707985,82.35488126649076,9096.0,8760.333333333334,0.0,1.0
14,15,-13.085712505176124,12.159348308508811,-11.285812381482206,12.111383346043926,-1.7999001236939185,2.012347240870747,-0.9028649905185763,0.968910667683514,-3.599800247387837,4.024694481741494,0.9028649905185763,0.968910667683514,622.3192572002921,563.7335527401019,5660615.963493857,81.83817062445031,9096.0,8760.333333333334,0.0,1.0
15,16,-12.722364716775381,11.746795687683806,-10.907124136188793,11.693277033706886,-1.8152405805865879,2.027975451951391,-0.8725699308951035,0.9354621626965508,-3.6304811611731758,4.055950903902782,0.8725699308951035,0.9354621626965508,626.840924153473,566.1268636083593,5701745.046099991,82.11301671064204,9096.0,8760.333333333334,0.0,1.0
16,17,-12.499364699182575,11.426281549282157,-10.678634907423001,11.359620293473691,-1.8207297917595733,2.006316814619064,-0.8542907925938402,0.9087696234778955,-3.6414595835191466,4.012633629238128,0.8542907925938402,0.9087696234778955,631.9693147978837,561.6106787900898,5748392.88740155,81.14555848724714,9096.0,8760.333333333334,0.0,1.0
17,18,-11.991147809285494,10.885982974940303,-10.117417011779825,10.81112573107179,-1.873730797505669,2.0189751307066675,-0.8093933609423858,0.8648900584857432,-3.747461595011338,4.037950261413335,0.8093933609423858,0.8648900584857432,650.3878845871291,563.200458721937,5915928.198204526,80.96965699208444,9096.0,8760.333333333334,0.0,1.0
