month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
-1.4824604645785808,0.6652648285262902,-1.6613145846219661,0.37384082112059425,92.28052041031627,-0.016799157030480776,0.009946940488835878,1.2765556868038879,-0.6642536083527119,0.8566732083464718,1.9382763892367167,1.076939304705705,1.1402673995292525,0.41153995422175543,0.2219110472003709,0.5800759561258195,0.591222903685409,0.847810952455034,0.8286877774159545
-1.482452733993091,0.6652632634750542,-1.5168438105241933,-0.670911169600967,-0.01083650552228539,-0.7822383576802805,2.4465731453098853,1.2180712243129084,-0.5691325781053204,0.8212499495210226,1.8998639560665807,1.0199868526658047,1.1777291309574893,0.4115391694247431,0.24683089908430145,0.6033882080495129,0.5752131524139888,0.5350799808138811,0.5155816725142458
-1.4824450035285381,0.6652616984348634,-1.3723750547482492,-0.6709095830172855,-0.01083648784831142,-0.7822363014598852,-0.7689931801871891,1.174207132208567,-0.4961885776066722,0.7459429512369585,1.7934809634242581,0.8634826955362169,1.4024126707265343,0.4115383846322208,0.31698204582132083,0.6688150299900594,0.48206176260153644,-1.3150171526559673,-1.3367342825266253
-1.4824372731849187,0.6652601334057181,-1.2279079386643663,-0.6232212866709904,-0.010836470174423928,-0.7822342452557051,-0.7689911845561509,1.130343423704993,-0.4218436036256352,0.6051340664908385,1.672534177653198,0.6387337059736841,1.3943193887740692,0.41153759984418836,0.3983593604089203,0.7654309362205847,0.485153894408811,-1.315011299789151,-1.3367282074654598
-1.4824295429622296,0.665258568387618,-1.083442122996345,-0.6549636343070674,-0.010836452500622911,-0.7822321890677396,-0.7689891889406495,1.1010995910201018,-0.37148295621806565,0.4894396820832494,1.553408744683511,0.42704865463510644,1.2226204585003249,0.411536815060646,0.48021575740806116,0.8592700974508983,0.5557881157783515,-1.3150054470004837,-1.3367221324871217
-1.482421812860468,0.6652570033805628,-0.9389773078158803,-0.6544662123447904,-0.01083643482690837,-0.782230132895989,-0.7689871933406843,1.1303352424255924,-0.42184217467408336,0.3868577075852099,1.435641406216966,0.22941341359878467,0.9749307305299452,0.4115360302815935,0.5628527025109668,0.9494697001628157,0.6608180188055026,-1.3149995942899637,-1.336716057591609
-1.4824140828796304,0.6652554383845525,-0.7945132325380247,-0.6547653181109441,-0.010836417153280303,-0.7822280767404528,-0.7689851977562556,1.2326690062307175,-0.5931350204621042,0.299573830766657,1.3345752509548274,0.05704331193366894,0.7172054908063052,0.41153524550703124,0.6351598975085078,1.0302659013316973,0.7740906291521963,-1.314993741657589,-1.33670998277892
-1.482406353019714,0.6652538733995871,-0.6500496759176452,-0.6549253829109835,-0.01083639947973871,-0.7822260206011307,-0.7689832021873628,1.4811984925193302,-0.9788815096378227,0.23999471162170125,1.2625615221875,-0.07454097446325758,0.4890899819998641,0.41153446073695676,0.6875022976408132,1.0933780748855007,0.877915132051493,-1.3149878891033582,-1.3367039080490524
-1.4823986232807151,0.6652523084256661,-0.5055864560467324,-0.6709005907022686,-0.01083638180628359,-0.7822239644780227,-0.7689812066340057,1.7589632214422903,-1.3640739026298554,0.2206392293322248,1.216727688590512,-0.16461894597625878,0.3212534992046959,0.41153367597137247,0.721220069241422,1.1374004183338393,0.9565861863467312,-1.3149820366272693,-1.3366978334020045
-1.4823908936626315,0.6652507434627896,-0.3611234303524251,-0.6708990041953559,-0.010836364132914942,-0.7822219083711286,-0.7689792110961843,2.0074829231384816,-1.6723258089927149,0.20697989504155906,1.1989717089117558,-0.21552073948600228,0.2066258355318457,0.41153289121027836,0.7344077813520387,1.162624686210818,1.0114765281328235,-1.3149761842293206,-1.3366917588377747
-1.4823831641654592,0.6652491785109576,-0.2166604955956047,-0.6708974176996982,-0.010836346459632768,-0.7822198522804479,-0.7689772155738985,2.226756416253887,-1.9188944698844235,0.19678340408151754,1.1893087838757672,-0.24681021105676682,0.1263012650074087,0.4115321064536724,0.7416964612471653,1.178411716155618,1.0506474582320542,-1.3149703319095107,-1.3366856843563608
-1.482375434789195,0.6652476135701698,-0.07219758786992246,-0.6708958312152955,-0.010836328786437064,-0.7822177962059808,-0.7689752200671478,2.3729267668904965,-2.071229555724593,0.18994895633838432,1.1843602134534936,-0.26802003111046657,0.06234733275016284,0.4115313217015566,0.7455353904922487,1.1892942459627989,1.0822618276348126,-1.3149644796678372,-1.3366796099577611
-1.4823677055338367,0.6652460486404261,0.07226531739888234,-0.6708942447421474,-0.01083631111332783,-0.7822157401477265,-0.7689732245759322,2.4898533395379605,-2.1866511673108238,0.18632960867091253,1.182529672899865,-0.2825989466722393,0.008837054075420684,0.41153053695392894,0.7470850929223086,1.1969176752114234,1.1090086040179976,-1.3149586275042988,-1.3366735356419734
-1.4823599763993802,0.6652444837217264,0.21672820545351332,-0.6708926582802539,-0.010836293440305065,-0.7822136841056855,-0.7689712291002514,2.5629185399779404,-2.256018973411856,0.18443317114797775,1.1819875411220067,-0.2929493063997309,-0.034927390920241,0.4115297522107916,0.74769012774919,1.2024376198337958,1.1310952877722953,-1.314952775418894,-1.3366674614089964
