,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-23.8573740090067,24.495123580047753,-21.10496626498232,24.539899417252496,-2.7524077440243784,1.9056641528427867,-1.6883973011985858,1.9631919533801996,-5.504815488048757,3.8113283056855733,1.6883973011985858,1.9631919533801996,964.5321632117776,405.03388978882265,9213211.2229989,96.44053601340033,9552.0,8760.5,0.0,1.0
1,2,-11.773373955189998,13.992787718197597,-9.476977120520415,13.796231828050539,-2.296396834669584,2.0568073246131373,-0.758158169641633,1.103698546244043,-4.592793669339168,4.113614649226275,0.758158169641633,1.103698546244043,797.7618959307362,527.068701636841,7256442.2053859765,87.8957783641161,9096.0,8760.333333333334,0.0,1.0
2,3,-11.054167773787476,12.103983521192037,-8.58034076871472,11.989718248256189,-2.4738270050727547,1.9905808444858784,-0.6864272614971776,0.9591774598604951,-4.947654010145509,3.9811616889717567,0.6864272614971776,0.9591774598604951,863.8599080195598,503.51883977287065,7857669.723345917,88.20360598065083,9096.0,8760.5,0.0,1.0
3,4,-10.249739402454903,12.04828337167202,-7.8755558378353046,11.794311661348484,-2.3741835646195986,2.04376100050582,-0.6300444670268244,0.9435449329078787,-4.748367129239197,4.08752200101164,0.6300444670268244,0.9435449329078787,823.8145970880236,526.1203498030276,7493417.575112662,83.28935795954266,9096.0,8760.5,0.0,1.0
4,5,-10.648187570836166,12.68428824006463,-8.282475240413799,12.470445853585703,-2.3657123304223697,1.9992476224589248,-0.6625980192331039,0.9976356682868563,-4.7314246608447394,3.9984952449178497,0.6625980192331039,0.9976356682868563,823.5954239615677,514.676643474838,7491423.976354419,83.64116094986808,9096.0,8760.5,0.0,1.0
5,6,-11.137500695888571,12.083399601660453,-8.62821910355386,12.039236801036306,-2.5092815923347116,1.961410282596676,-0.6902575282843089,0.9631389440829047,-5.018563184669423,3.922820565193352,0.6902575282843089,0.9631389440829047,875.0146776428958,481.7480594383537,7959133.50783978,86.91732629727352,9096.0,8760.333333333334,0.0,1.0
6,7,-10.78218741456006,12.39945150359207,-8.36605061187196,12.268623051800724,-2.4161368026881007,1.9638267404619174,-0.6692840489497568,0.9814898441440579,-4.832273605376201,3.927653480923835,0.6692840489497568,0.9814898441440579,846.1072696094824,500.0237738499469,7696191.724367851,83.42128408091469,9096.0,8760.5,0.0,1.0
7,8,-10.472808499516887,11.826875370607409,-8.020042770190207,11.674630848583933,-2.4527657293266816,1.9680870336790939,-0.6416034216152166,0.9339704678867146,-4.905531458653363,3.9361740673581878,0.6416034216152166,0.9339704678867146,854.7532756202578,496.6585596310695,8164603.288724703,84.57914572864321,9552.0,8760.333333333334,0.0,1.0
8,9,-10.18324168309037,11.794012009322154,-7.776847969122245,11.572012010979115,-2.406393713968127,1.9752437238650942,-0.6221478375297794,0.9257609608783292,-4.812787427936254,3.9504874477301883,0.6221478375297794,0.9257609608783292,836.0735841953352,502.61488130971173,7986174.876233842,82.48534338358459,9552.0,8760.333333333334,0.0,1.0
9,10,-10.66445310831285,11.917873654150052,-8.221617025786793,11.7307568803894,-2.4428360825260556,1.9579546151348934,-0.6577293620629435,0.938460550431152,-4.885672165052111,3.915909230269787,0.6577293620629435,0.938460550431152,852.4953649207193,492.9393854830779,7754297.839318863,84.14687774846085,9096.0,8760.333333333334,0.0,1.0
10,11,-10.658300268738392,11.980620322724215,-8.225387424350636,11.811983223998306,-2.432912844387758,1.9575563939770484,-0.6580309939480508,0.9449586579198644,-4.865825688775516,3.915112787954097,0.6580309939480508,0.9449586579198644,851.8958446991089,493.84338142683816,7748844.603383095,84.39973614775725,9096.0,8760.333333333334,0.0,1.0
11,12,-10.714578409475989,11.85293742554333,-8.243341912411735,11.69941462652509,-2.4712364970642535,1.9589559999240582,-0.6594673529929387,0.9359531701220071,-4.942472994128507,3.9179119998481164,0.6594673529929387,0.9359531701220071,865.6629770961316,494.2146728346202,7874070.439666413,84.76253298153034,9096.0,8760.333333333334,0.0,1.0
12,13,-10.722902040704554,12.061800538806118,-8.280148689102674,11.853791129319012,-2.442753351601881,1.9784172272013565,-0.662411895128214,0.948303290345521,-4.885506703203762,3.956834454402713,0.662411895128214,0.948303290345521,852.7321923845774,498.56937907158914,7756452.021930116,86.04881266490764,9096.0,8760.5,0.0,1.0
13,14,-10.894756306542735,11.949412137953214,-8.422075084347336,11.79904742806178,-2.4726812221953987,1.9481014431177104,-0.6737660067477869,0.9439237942449423,-4.945362444390797,3.8962028862354208,0.6737660067477869,0.9439237942449423,868.1298520795185,488.39211023548023,7896509.1345153,86.56552330694811,9096.0,8760.5,0.0,1.0
