energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
,,,,,,,,
-1.4936457146369424,-0.0,-2.987291429273885,-0.0,655.682930042556,0.0,0.3666912202103459,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.33021741249932984,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.21970937815910388,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.10245900136459797,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.013324552332706094,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.11762444106146686,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.18718136024519616,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.23503213264120473,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.271390059078364,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.29700379125744764,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.31507990683313397,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3268363165536727,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3346168387411755,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.34228341668648427,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.35403408636927797,4.556,False
-0.0,-0.04251603070304383,-0.0,-0.0034012824562435063,0.0,0.0034012824562435063,-0.3706601098632709,4.556,False
-0.0,-0.36610271945963946,-0.0,-0.029288217556771155,0.0,0.029288217556771155,-0.3950460499665865,11.493,False
-0.0,-1.2937646498240425,-0.0,-0.1035011719859234,0.0,0.1035011719859234,-0.42768401432251496,11.493,False
-0.0,-2.4659934262034504,-0.0,-0.19727947409627603,0.0,0.19727947409627603,-0.46608209902753134,11.493,False
