energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
,,,,,,,
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3562307343928027,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.28610584486855173,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.16409334511415952,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0473659181857401,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.062478553895356614,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.14979443500255896,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20940283134014925,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.2582412241340241,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.289171419102538,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.31119422704482874,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3268322149934501,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.33694909219823915,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3439342787901212,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.35124602056064763,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3627119627246498,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3786689586636851,4.556
-0.0,-0.5702860121017075,-0.0,-0.045622880968136596,0.0,0.045622880968136596,-0.4027781514111443,11.493
-0.0,-1.5161970538123366,-0.0,-0.12129576430498692,0.0,0.12129576430498692,-0.43476957660790694,11.493
-0.0,-2.5941040519147647,-0.0,-0.20752832415318118,0.0,0.20752832415318118,-0.4696745039740537,11.493
-0.0,-3.7540563362574177,-0.0,-0.3003245069005934,0.0,0.3003245069005934,-0.5054668201595431,11.493
-0.0,-5.008679603193763,-0.0,-0.40069436825550103,0.0,0.40069436825550103,-0.5422690546567321,11.493
-0.0,-6.302576141174853,-0.0,-0.5042060912939883,0.0,0.5042060912939883,-0.578468314286933,4.556
-0.0,-7.644156207548794,-0.0,-0.6115324966039035,0.0,0.6115324966039035,-0.6143293201181772,4.556
-0.0,-29.18205832373937,-0.0,-2.3345646658991495,0.0,2.3345646658991495,-1.0121259813531729,4.556
-3.49542176369644,-64.59662233514221,-6.99084352739288,-5.167729786811377,1534.425708382985,5.167729786811377,-1.3925952057817808,4.556
-3.3018514592661035,-66.07841721297602,-6.603702918532207,-5.286273377038081,1449.4519136374465,5.286273377038081,-1.416032994060591,4.556
-3.2238033602471963,-64.10417161436801,-6.4476067204943925,-5.128333729149441,1415.1902371585586,5.128333729149441,-1.3988073747428638,4.556
-3.1612433717149035,-61.70733453151641,-6.322486743429807,-4.936586762521313,1387.7275556255065,4.936586762521313,-1.3658343177667287,4.556
