electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.40055620670318604,0.2417021542787552,-0.4900251030921936,-0.24345847964286804,-0.9300475120544434
0.04875965416431427,-0.4769138991832733,-0.11157099902629852,-1.0,-1.0
-0.03685428202152252,-0.35989660024642944,-0.059870198369026184,-0.9190400838851929,-1.0
-0.12733010947704315,-0.361964613199234,0.0022602230310440063,-0.813515305519104,-1.0
-0.18561357259750366,-0.23971505463123322,0.23251177370548248,-0.6612592935562134,-1.0
-0.22606131434440613,-0.07150107622146606,0.3632792532444,-0.5545570850372314,-1.0
-0.2513769268989563,0.15749889612197876,0.46945637464523315,-0.4726407825946808,-0.8970515727996826
-0.26297569274902344,0.4774414002895355,0.42020875215530396,-0.46581152081489563,-0.9514915943145752
-0.2566169202327728,0.7671360373497009,0.3601014018058777,-0.47836926579475403,-1.0
-0.23173034191131592,0.9732237458229065,0.3152185082435608,-0.4969278872013092,-1.0
-0.1983891725540161,1.0,0.276836633682251,-0.5194469690322876,-1.0
-0.17370319366455078,1.0,0.24559134244918823,-0.5333456993103027,-1.0
-0.14974039793014526,1.0,0.21685829758644104,-0.5465285778045654,-1.0
-0.13180094957351685,1.0,0.19257691502571106,-0.5538758039474487,-1.0
-0.12881171703338623,1.0,0.1769963502883911,-0.5459489822387695,-1.0
-0.14627662301063538,1.0,0.174155592918396,-0.5150995254516602,-1.0
-0.17183615267276764,1.0,0.1795932650566101,-0.47117605805397034,-0.9144067764282227
-0.19414788484573364,1.0,0.18599426746368408,-0.40690454840660095,-0.7733361721038818
-0.143678218126297,0.9966837763786316,0.1304118037223816,-0.25201988220214844,-0.4732784032821655
0.06561078131198883,1.0,-0.13779614865779877,-0.01169171929359436,-0.030223935842514038
-0.49254244565963745,1.0,1.0,0.8051187992095947,-0.032833635807037354
0.6292738318443298,1.0,0.8337705135345459,-0.10906431078910828,0.6696346998214722
-0.37498781085014343,1.0,-0.07928268611431122,0.6978682279586792,-0.040813714265823364
0.38902223110198975,0.5414881110191345,1.0,-0.6990648508071899,-0.025162428617477417
-1.0,0.19210639595985413,1.0,0.5026448965072632,1.0
-1.0,-0.24122366309165955,1.0,0.37701112031936646,1.0
-1.0,-0.35205796360969543,1.0,0.5499130487442017,1.0
-1.0,-0.4972700774669647,1.0,0.6244781017303467,1.0
-1.0,-0.7702687978744507,1.0,0.7700810432434082,1.0
-1.0,-1.0,1.0,0.8903747797012329,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.7541956305503845,-1.0,1.0,1.0,1.0
-0.4036688208580017,-1.0,1.0,1.0,1.0
-0.07087913155555725,-1.0,1.0,1.0,1.0
0.03206567466259003,-1.0,1.0,1.0,1.0
-0.8172764182090759,-0.908541738986969,1.0,1.0,1.0
-0.08558367192745209,-1.0,1.0,1.0,1.0
-0.12243372201919556,-1.0,1.0,1.0,1.0
-0.11531121283769608,-1.0,1.0,1.0,1.0
-0.07257930934429169,-1.0,1.0,1.0,1.0
-0.017958566546440125,-1.0,1.0,1.0,1.0
0.03884217143058777,-1.0,1.0,1.0,1.0
-0.8045156002044678,-0.8017371892929077,1.0,1.0,1.0
-0.08139873296022415,-1.0,1.0,1.0,1.0
-0.12316374480724335,-1.0,1.0,1.0,1.0
-0.11776253581047058,-1.0,1.0,1.0,1.0
-0.07406035810709,-1.0,1.0,1.0,1.0
-0.01514667272567749,-1.0,1.0,1.0,1.0
-0.11324533820152283,-1.0,1.0,1.0,1.0
-0.06452272832393646,-1.0,1.0,1.0,1.0
-0.020213454961776733,-1.0,1.0,1.0,1.0
0.019230157136917114,-1.0,1.0,1.0,1.0
-0.8595859408378601,-0.46500471234321594,1.0,1.0,1.0
-0.1511935144662857,-1.0,1.0,1.0,1.0
-0.20398154854774475,-1.0,1.0,1.0,1.0
-0.21036674082279205,-1.0,1.0,1.0,1.0
-0.17890149354934692,-1.0,1.0,1.0,1.0
-0.13075977563858032,-1.0,1.0,1.0,1.0
-0.07809041440486908,-1.0,1.0,1.0,1.0
-0.026734381914138794,-1.0,1.0,1.0,1.0
0.02020484209060669,-1.0,1.0,1.0,1.0
-0.8425843119621277,-0.570721447467804,1.0,1.0,1.0
-0.14184477925300598,-1.0,1.0,1.0,1.0
-0.18889132142066956,-1.0,1.0,1.0,1.0
-0.18889831006526947,-1.0,1.0,1.0,1.0
-0.15078261494636536,-1.0,1.0,1.0,1.0
-0.09621431678533554,-1.0,1.0,1.0,1.0
-0.03753836452960968,-1.0,1.0,1.0,1.0
0.019290223717689514,-1.0,1.0,1.0,1.0
-0.8127540946006775,-0.6478410363197327,1.0,1.0,1.0
-0.12101579457521439,-1.0,1.0,1.0,1.0
-0.1589752733707428,-1.0,1.0,1.0,1.0
-0.29358914494514465,-1.0,1.0,1.0,1.0
-0.2586553394794464,-1.0,1.0,1.0,1.0
-0.20855239033699036,-1.0,1.0,1.0,1.0
-0.15461547672748566,-1.0,1.0,1.0,1.0
-0.1023440957069397,-1.0,1.0,1.0,1.0
-0.05415309965610504,-1.0,1.0,1.0,1.0
-0.011046841740608215,-1.0,1.0,1.0,1.0
0.027028217911720276,-1.0,1.0,1.0,1.0
-0.8501803874969482,-0.4656738340854645,1.0,1.0,1.0
-0.15072622895240784,-1.0,1.0,1.0,1.0
-0.20471541583538055,-1.0,1.0,1.0,1.0
-0.2109890878200531,-1.0,1.0,1.0,1.0
-0.17835363745689392,-1.0,1.0,1.0,1.0
-0.12850791215896606,-1.0,1.0,1.0,1.0
-0.0738578736782074,-1.0,1.0,1.0,1.0
-0.02039887011051178,-1.0,1.0,1.0,1.0
0.02924436330795288,-1.0,1.0,1.0,1.0
-0.8232300877571106,-0.592545211315155,1.0,1.0,1.0
-0.12887342274188995,-1.0,1.0,1.0,1.0
-0.17383694648742676,-1.0,1.0,1.0,1.0
-0.17164114117622375,-1.0,1.0,1.0,1.0
-0.13129252195358276,-1.0,1.0,1.0,1.0
-0.07463114708662033,-1.0,1.0,1.0,1.0
-0.014057055115699768,-1.0,1.0,1.0,1.0
-0.10803116858005524,-1.0,1.0,1.0,1.0
-0.06340548396110535,-1.0,1.0,1.0,1.0
-0.023396030068397522,-1.0,1.0,1.0,1.0
0.011935457587242126,-1.0,1.0,1.0,1.0
-0.8666484951972961,-0.38921451568603516,1.0,1.0,1.0
-0.16684694588184357,-1.0,1.0,1.0,1.0
-0.2222454845905304,-1.0,1.0,1.0,1.0
-0.23032036423683167,-1.0,1.0,1.0,1.0
-0.19981950521469116,-1.0,1.0,1.0,1.0
-0.1521529108285904,-1.0,1.0,1.0,1.0
-0.09956257045269012,-1.0,1.0,1.0,1.0
-0.04797707498073578,-1.0,1.0,1.0,1.0
-7.614493370056152e-06,-1.0,1.0,1.0,1.0
0.043119266629219055,-1.0,1.0,1.0,1.0
-0.8241122364997864,-0.5530477166175842,1.0,1.0,1.0
-0.12801221013069153,-1.0,1.0,1.0,1.0
-0.17827844619750977,-1.0,1.0,1.0,1.0
-0.18068981170654297,-1.0,1.0,1.0,1.0
-0.14419709146022797,-1.0,1.0,1.0,1.0
-0.09072954207658768,-1.0,1.0,1.0,1.0
-0.0328088253736496,-1.0,1.0,1.0,1.0
0.023535653948783875,-1.0,1.0,1.0,1.0
-0.8101202249526978,-0.643486738204956,1.0,1.0,1.0
-0.11869259923696518,-1.0,1.0,1.0,1.0
-0.29719826579093933,-1.0,1.0,1.0,1.0
-0.2968144416809082,-1.0,1.0,1.0,1.0
-0.2613058388233185,-1.0,1.0,1.0,1.0
-0.21056382358074188,-1.0,1.0,1.0,1.0
