energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
,,,,,,,
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3562307343928027,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.28544182947653857,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.16938382620643236,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.030236297072561296,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.08439817669078802,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.18612395979091131,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.24280731617063703,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.28562092281542156,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.31583876483241585,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.33526342782046564,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3474586869019273,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.35414293853206935,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3576312758631011,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.36163085913388776,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3701850805938159,4.556
-0.0,-0.11402659784019217,-0.0,-0.009122127827215373,0.0,0.009122127827215373,-0.3840990916316362,4.556
-0.10535126390224393,-0.5059901759485597,-0.21070252780448787,-0.04047921407588478,18.333118228877392,0.04047921407588478,-0.40364525938833795,11.493
-1.0901146443664396,-1.4060103907241888,-2.180229288732879,-0.11248083125793511,189.70062548793868,0.11248083125793511,-0.43452287431938585,11.493
-3.400134874395887,-1.9953015631943127,-6.800269748791774,-0.15962412505554502,591.6879621327568,0.15962412505554502,-0.45799589726516193,11.493
-8.700991213277973,-2.1042597559909817,-17.401982426555946,-0.16834078047927853,1514.137512099186,0.16834078047927853,-0.4612618882866594,11.493
-8.187294506835961,-2.2441946768541703,-16.374589013671923,-0.17953557414833363,1424.7445413444636,0.17953557414833363,-0.4316941934641843,11.493
-3.2658719154260583,-0.9947498231501607,-6.5317438308521165,-0.07957998585201286,1433.6575572546349,0.07957998585201286,-0.32056469397770354,4.556
-2.457144375883311,-0.0,-4.914288751766622,-0.0,1078.641078087494,0.0,-0.21032403442309808,4.556
-3.349104417221353,-39.07760366278952,-6.698208834442706,-3.126208293023162,1470.1950909663535,3.126208293023162,-1.1339226956561488,4.556
-3.3791389243188026,-60.99688613940704,-6.758277848637605,-4.879750891152563,1483.3796858291494,4.879750891152563,-1.3590373358615266,4.556
-3.2608672708720086,-60.120788052161714,-6.521734541744017,-4.809663044172937,1431.4606105671678,4.809663044172937,-1.3576386365549429,4.556
-3.191392483387895,-57.34952287037493,-6.38278496677579,-4.587961829629995,1400.962459783975,4.587961829629995,-1.3319680755219556,4.556
