energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
,,,,,,,,
-1.493644578289809,-0.0,-2.987289156579618,-0.0,655.6824312071154,0.0,0.3666912125553383,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3319355294543977,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.2397393329405939,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.10017509603342546,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.008210199575911736,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.12753800866056483,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.2289627520151362,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.25973077560306296,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.28372214262582246,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.30155710751975745,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.31693775487658393,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.32769395257070094,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.33461901751331075,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3422607745540536,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.35461356141512557,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3711899663793849,4.556,False
-0.0,-0.2829139256307158,-0.0,-0.022633114050457266,0.0,0.022633114050457266,-0.39356394727361704,11.493,False
-9.122793932748609,-1.2102203856862117,-18.245587865497217,-0.09681763085489693,1587.5391860695395,0.09681763085489693,-0.42039913073969465,11.493,False
-0.0,-2.328267952579566,-0.0,-0.1862614362063653,0.0,0.1862614362063653,-0.43244102681811186,11.493,False
-0.0,-3.276013085881308,-0.0,-0.26208104687050465,0.0,0.26208104687050465,-0.4429672235058953,11.493,False
