energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
,,,,,,,
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3562307343928027,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.28544182947653857,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.15741043637971483,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.02459693403710228,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.07406566853880618,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.166843755980718,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.22533919352503984,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.27222132622541745,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3059211442246111,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3277859849119892,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3416321032286301,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.34944215036670173,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.353762205466301,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3583500936888047,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3673550866122934,4.556
-0.0,-0.08509304969301697,-0.0,-0.006807443975441357,0.0,0.006807443975441357,-0.3816402550809266,4.556
-0.10336415497927025,-0.45451900346546154,-0.2067283099585405,-0.03636152027723692,17.987323584663752,0.03636152027723692,-0.40148732807984017,11.493
-2.0793260565005265,-1.2912696965573143,-4.158652113001053,-0.10330157572458513,361.8421746281261,0.10330157572458513,-0.43095311975085865,11.493
-3.7937549998638302,-1.6074599747777487,-7.5875099997276605,-0.1285967979822199,660.1853301772958,0.1285967979822199,-0.44749382183552605,11.493
-0.0,-2.086741436730657,-0.0,-0.16693931493845257,0.0,0.16693931493845257,-0.4506662764055576,11.493
-0.0,-2.6831902071319367,-0.0,-0.21465521657055492,0.0,0.21465521657055492,-0.461173982982956,11.493
-0.0,-3.2898908967106637,-0.0,-0.2631912717368531,0.0,0.2631912717368531,-0.4916376744276516,4.556
-0.0,-3.9280975399255165,-0.0,-0.31424780319404133,0.0,0.31424780319404133,-0.5285931391465866,4.556
-0.0,-29.18205832373937,-0.0,-2.3345646658991495,0.0,2.3345646658991495,-1.0121259813531729,4.556
-3.4956849894906536,-64.66689653005982,-6.991369978981307,-5.173351722404785,1534.5412596534916,5.173351722404785,-1.3932138829616296,4.556
-3.3156781245280085,-67.10739292332175,-6.631356249056017,-5.36859143386574,1455.5215647620755,5.36859143386574,-1.425300804842507,4.556
-3.231751049801372,-65.25053732419448,-6.463502099602744,-5.220042985935558,1418.679126339496,5.220042985935558,-1.409953289938725,4.556
