electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.5475912690162659,0.33268725872039795,-0.26489973068237305,0.05625434219837189,-0.2989148199558258
0.0873616561293602,0.7441092729568481,-1.0,-1.0,-1.0
0.2731495797634125,0.473105788230896,-1.0,-0.7746091485023499,-1.0
0.3968549072742462,0.38613584637641907,-1.0,-0.656711220741272,-1.0
0.45330169796943665,0.3189467191696167,-1.0,-0.5101262927055359,-1.0
0.450046569108963,0.26939669251441956,-1.0,-0.3770097494125366,-1.0
0.38209179043769836,0.24835696816444397,-1.0,-0.28429925441741943,-1.0
0.19832414388656616,0.27749425172805786,-1.0,-0.26796776056289673,-1.0
0.002515845000743866,0.32148510217666626,-1.0,-0.2877155542373657,-1.0
-0.15633834898471832,0.35343486070632935,-1.0,-0.30539727210998535,-1.0
-0.2803250551223755,0.37397462129592896,-1.0,-0.3256431221961975,-1.0
-0.36681869626045227,0.38606971502304077,-1.0,-0.33586591482162476,-1.0
-0.43610331416130066,0.39320996403694153,-1.0,-0.34430450201034546,-1.0
-0.4839983284473419,0.3931039571762085,-1.0,-0.3458298444747925,-1.0
-0.4998106062412262,0.3807246685028076,-1.0,-0.33164161443710327,-1.0
-0.476275235414505,0.3520965278148651,-1.0,-0.29385536909103394,-1.0
-0.43612319231033325,0.3154154419898987,-1.0,-0.24219240248203278,-1.0
-0.37514591217041016,0.2677628695964813,-1.0,-0.17012767493724823,-1.0
-0.2659899890422821,0.19850200414657593,-0.8118709921836853,-0.0621785968542099,-1.0
-0.17854204773902893,0.1364937424659729,-0.5640074610710144,0.03978373110294342,-1.0
-0.10378600656986237,0.0915929302573204,-0.31691908836364746,0.12417726218700409,-1.0
-0.01917857676744461,0.022392185404896736,-0.07841990888118744,0.239267036318779,-0.9029954671859741
0.01820274442434311,0.012236992828547955,0.15167872607707977,0.30897411704063416,-0.7150161266326904
-0.4908355474472046,0.3289640247821808,0.07571781426668167,0.41171884536743164,-0.5255779027938843
0.5719607472419739,-0.22483427822589874,0.6574001908302307,-0.7369189262390137,1.0
0.12380973249673843,-0.3357086181640625,0.6836556792259216,-0.19451673328876495,1.0
0.034284256398677826,-0.5460507273674011,0.7861387133598328,0.13972094655036926,1.0
0.046076513826847076,-0.5347785949707031,1.0,0.07528512179851532,1.0
0.026249326765537262,-0.7435462474822998,1.0,0.413385272026062,1.0
0.06154618412256241,-0.9326947331428528,1.0,0.7246332764625549,1.0
0.08735837787389755,-1.0,1.0,0.9541611671447754,1.0
0.139876127243042,-1.0,1.0,1.0,1.0
0.18423965573310852,-1.0,1.0,1.0,1.0
0.22002610564231873,-1.0,1.0,1.0,1.0
0.22942528128623962,-1.0,1.0,1.0,1.0
0.2445048689842224,-1.0,1.0,1.0,1.0
0.231862872838974,-1.0,1.0,1.0,1.0
0.2181558907032013,-1.0,1.0,1.0,1.0
0.20348256826400757,-1.0,1.0,1.0,1.0
0.18809130787849426,-1.0,1.0,1.0,1.0
0.17220643162727356,-1.0,1.0,1.0,1.0
0.15599551796913147,-1.0,1.0,1.0,1.0
0.1395956575870514,-1.0,1.0,1.0,1.0
0.12311237305402756,-1.0,1.0,1.0,1.0
0.10662632435560226,-1.0,1.0,1.0,1.0
0.09020062536001205,-1.0,1.0,1.0,1.0
0.07388348132371902,-1.0,1.0,1.0,1.0
0.05771806091070175,-1.0,1.0,1.0,1.0
0.48249080777168274,-1.0,1.0,1.0,1.0
