energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
,,,,,,,,
-3.140000873198974,-0.0,-6.280001746397948,-0.0,1378.4024904297517,0.0,0.3639833621141362,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3200864235235524,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.22250027623196492,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.08054886756999657,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0032374538830550006,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.07865182247220699,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.14965031207887539,4.556,False
-3.4775386487527635,-0.0,-6.955077297505527,-0.0,1526.5753506377364,0.0,-0.19200202893391324,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.19447129650265213,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.18997850902469782,4.556,False
-3.907272895282271,-0.0,-7.814545790564542,-0.0,1715.2207617569231,0.0,-0.18163500287843362,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.1498537949174686,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.12441816122103226,4.556,False
-2.8203186589481914,-0.0,-5.640637317896383,-0.0,1238.067892426774,0.0,-0.11258535947477548,4.556,False
-3.861872086075027,-0.0,-7.723744172150054,-0.0,1695.2906435799064,0.0,-0.08578754908263071,4.556,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.049602407341710696,4.556,False
-4.570568729919031,-0.0,-9.141137459838061,-0.0,795.3656538621823,0.0,-0.05298391168066167,11.493,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.05650484738354659,11.493,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.09083969250099078,11.493,False
-4.9759962106963815,-0.14451546133821502,-9.951992421392763,-0.011561236907057203,865.9177256932709,0.011561236907057203,-0.13702388104294286,11.493,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.17041690046372623,11.493,False
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.2136676545683791,4.556,False
-0.0,-0.3615714286448856,-0.0,-0.02892571429159085,0.0,0.02892571429159085,-0.28497285412199974,4.556,False
-3.338945724110896,-33.42185400674806,-6.677891448221792,-2.673748320539845,1465.7356119889798,2.673748320539845,-1.0682889869880925,4.556,False
-0.0,-52.18174251009798,-0.0,-4.174539400807839,0.0,4.174539400807839,-1.274582561363979,4.556,False
-3.3929591543477473,-78.68944411169821,-6.785918308695495,-6.295155528935857,1489.4465120051568,6.295155528935857,-1.5154601804603587,4.556,False
-3.624681187097421,-106.12809430174772,-7.249362374194842,-8.490247544139818,1591.1682120708608,8.490247544139818,-1.7139412996597672,4.556,False
-3.6051148494346803,-107.57329574973168,-7.210229698869361,-8.605863659978535,1582.5789505859,8.605863659978535,-1.722894307716212,4.556,False
