electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.37924283742904663,0.1827545017004013,-0.44196459650993347,-0.14900578558444977,-0.9941023588180542
0.1459549218416214,-0.6013153195381165,-0.15831562876701355,-0.9266208410263062,-1.0
0.05402572453022003,-0.49489378929138184,-0.11189556121826172,-0.8298557996749878,-1.0
-0.02420152723789215,-0.4637852907180786,-0.07999017834663391,-0.7548322677612305,-1.0
-0.14446160197257996,-0.35098475217819214,-0.007368415594100952,-0.6413789987564087,-1.0
-0.25401610136032104,-0.14886148273944855,0.05234813690185547,-0.5420536994934082,-1.0
-0.260243684053421,0.10042374581098557,0.17785462737083435,-0.48664677143096924,-1.0
-0.2525026500225067,0.4598698019981384,0.10303296148777008,-0.5187703967094421,-1.0
-0.23910236358642578,0.7916403412818909,-0.003476262092590332,-0.5636018514633179,-1.0
-0.22074748575687408,1.0,-0.08357492089271545,-0.6059411764144897,-1.0
-0.18062332272529602,1.0,-0.15442410111427307,-0.6477790474891663,-1.0
-0.14723896980285645,1.0,-0.202437162399292,-0.6747708320617676,-1.0
-0.11508690565824509,1.0,-0.24205869436264038,-0.6973227262496948,-1.0
-0.0904962569475174,1.0,-0.2717326283454895,-0.710840106010437,-1.0
-0.08258926868438721,1.0,-0.28515952825546265,-0.706511914730072,-1.0
-0.09680590033531189,1.0,-0.27800288796424866,-0.6776552200317383,-1.0
-0.11996524035930634,1.0,-0.2615566551685333,-0.636289119720459,-0.9829107522964478
-0.15655964612960815,1.0,-0.22638675570487976,-0.5757453441619873,-0.829555869102478
-0.21027933061122894,0.9705225825309753,-0.1621214747428894,-0.48335516452789307,-0.6095634698867798
-0.24881570041179657,0.8624877333641052,-0.10518446564674377,-0.3992466926574707,-0.3990961015224457
-0.2766197919845581,0.7698366045951843,-0.04977312684059143,-0.3187153935432434,-0.19005087018013
-0.2984778881072998,0.6696425080299377,0.01366521418094635,-0.23254315555095673,0.03575778007507324
0.4170305132865906,1.0,-0.4875374138355255,0.657453179359436,1.0
-0.26124101877212524,1.0,1.0,0.6199579834938049,0.5997471809387207
-1.0,-0.5021706223487854,1.0,0.3083879351615906,1.0
-1.0,-0.5755582451820374,1.0,0.4816244840621948,1.0
-1.0,-0.7282674908638,1.0,0.6081161499023438,1.0
-1.0,-0.8652554154396057,1.0,0.6847094893455505,1.0
-1.0,-1.0,1.0,0.828508734703064,1.0
-1.0,-1.0,1.0,0.9420657753944397,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.8000754714012146,-1.0,1.0,1.0,1.0
-0.44777393341064453,-1.0,1.0,1.0,1.0
-0.11906811594963074,-1.0,1.0,1.0,1.0
-0.0318991094827652,-1.0,1.0,1.0,1.0
0.022707700729370117,-1.0,1.0,1.0,1.0
-0.9298822283744812,-1.0,1.0,1.0,1.0
-0.16165311634540558,-1.0,1.0,1.0,1.0
-0.21642744541168213,-1.0,1.0,1.0,1.0
-0.20561537146568298,-1.0,1.0,1.0,1.0
-0.15691566467285156,-1.0,1.0,1.0,1.0
-0.09722144901752472,-1.0,1.0,1.0,1.0
-0.03553885221481323,-1.0,1.0,1.0,1.0
0.02316272258758545,-1.0,1.0,1.0,1.0
-0.899885356426239,-0.9418348670005798,1.0,1.0,1.0
-0.12348173558712006,-1.0,1.0,1.0,1.0
-0.1788104623556137,-1.0,1.0,1.0,1.0
-0.17705702781677246,-1.0,1.0,1.0,1.0
-0.3995204567909241,-1.0,1.0,1.0,1.0
-0.3436785936355591,-1.0,1.0,1.0,1.0
-0.28352490067481995,-1.0,1.0,1.0,1.0
-0.2258821576833725,-1.0,1.0,1.0,1.0
-0.17289383709430695,-1.0,1.0,1.0,1.0
-0.12513227760791779,-1.0,1.0,1.0,1.0
-0.08249154686927795,-1.0,1.0,1.0,1.0
-0.04453881084918976,-1.0,1.0,1.0,1.0
-0.010720059275627136,-1.0,1.0,1.0,1.0
0.019569694995880127,-1.0,1.0,1.0,1.0
-0.9564924836158752,-0.7054536938667297,1.0,1.0,1.0
-0.22572778165340424,-1.0,1.0,1.0,1.0
-0.2929275631904602,-1.0,1.0,1.0,1.0
-0.292128324508667,-1.0,1.0,1.0,1.0
-0.2509445548057556,-1.0,1.0,1.0,1.0
-0.19421744346618652,-1.0,1.0,1.0,1.0
-0.13339152932167053,-1.0,1.0,1.0,1.0
-0.07434315234422684,-1.0,1.0,1.0,1.0
-0.020182117819786072,-1.0,1.0,1.0,1.0
0.02862943708896637,-1.0,1.0,1.0,1.0
-0.9011281132698059,-0.7828646898269653,1.0,1.0,1.0
-0.15367209911346436,-1.0,1.0,1.0,1.0
-0.21023352444171906,-1.0,1.0,1.0,1.0
-0.21011364459991455,-1.0,1.0,1.0,1.0
-0.4275631308555603,-1.0,1.0,1.0,1.0
-0.3740473985671997,-1.0,1.0,1.0,1.0
-0.3152451515197754,-1.0,1.0,1.0,1.0
-0.25753501057624817,-1.0,1.0,1.0,1.0
-0.20371560752391815,-1.0,1.0,1.0,1.0
-0.15524737536907196,-1.0,1.0,1.0,1.0
-0.11187388002872467,-1.0,1.0,1.0,1.0
-0.07305620610713959,-1.0,1.0,1.0,1.0
-0.03821316361427307,-1.0,1.0,1.0,1.0
-0.006845518946647644,-1.0,1.0,1.0,1.0
0.021592184901237488,-1.0,1.0,1.0,1.0
-0.9521011710166931,-0.6758785247802734,1.0,1.0,1.0
-0.2261679619550705,-1.0,1.0,1.0,1.0
-0.2943202257156372,-1.0,1.0,1.0,1.0
-0.2937970459461212,-1.0,1.0,1.0,1.0
-0.2524789273738861,-1.0,1.0,1.0,1.0
-0.19543242454528809,-1.0,1.0,1.0,1.0
-0.13416129350662231,-1.0,1.0,1.0,1.0
-0.07455480098724365,-1.0,1.0,1.0,1.0
-0.019298672676086426,-1.0,1.0,1.0,1.0
0.03042377531528473,-1.0,1.0,1.0,1.0
-0.8938434720039368,-0.7737517356872559,1.0,1.0,1.0
-0.14988194406032562,-1.0,1.0,1.0,1.0
-0.20562100410461426,-1.0,1.0,1.0,1.0
-0.46401339769363403,-1.0,1.0,1.0,1.0
-0.42801928520202637,-1.0,1.0,1.0,1.0
-0.37349623441696167,-1.0,1.0,1.0,1.0
-0.3137054443359375,-1.0,1.0,1.0,1.0
-0.2550511360168457,-1.0,1.0,1.0,1.0
-0.20035484433174133,-1.0,1.0,1.0,1.0
-0.15093962848186493,-1.0,1.0,1.0,1.0
-0.10673940181732178,-1.0,1.0,1.0,1.0
-0.06720657646656036,-1.0,1.0,1.0,1.0
-0.03172750771045685,-1.0,1.0,1.0,1.0
0.00021602213382720947,-1.0,1.0,1.0,1.0
-0.9674425721168518,-0.6691296100616455,1.0,1.0,1.0
-0.24016039073467255,-1.0,1.0,1.0,1.0
-0.30641067028045654,-1.0,1.0,1.0,1.0
-0.304147869348526,-1.0,1.0,1.0,1.0
-0.2614253759384155,-1.0,1.0,1.0,1.0
-0.2031814604997635,-1.0,1.0,1.0,1.0
-0.14088881015777588,-1.0,1.0,1.0,1.0
-0.08040300011634827,-1.0,1.0,1.0,1.0
-0.024302542209625244,-1.0,1.0,1.0,1.0
0.02611495554447174,-1.0,1.0,1.0,1.0
-0.8969311118125916,-0.7715718746185303,1.0,1.0,1.0
-0.15303458273410797,-1.0,1.0,1.0,1.0
-0.20832639932632446,-1.0,1.0,1.0,1.0
-0.4661739468574524,-1.0,1.0,1.0,1.0
-0.42991727590560913,-1.0,1.0,1.0,1.0
-0.37517911195755005,-1.0,1.0,1.0,1.0
-0.31520289182662964,-1.0,1.0,1.0,1.0
-0.25638699531555176,-1.0,1.0,1.0,1.0
-0.20154717564582825,-1.0,1.0,1.0,1.0
-0.15198130905628204,-1.0,1.0,1.0,1.0
-0.10765716433525085,-1.0,1.0,1.0,1.0
-0.0680232048034668,-1.0,1.0,1.0,1.0
-0.03245645761489868,-1.0,1.0,1.0,1.0
-0.00043702125549316406,-1.0,1.0,1.0,1.0
0.028592512011528015,-1.0,1.0,1.0,1.0
-0.9431174993515015,-0.6846470236778259,1.0,1.0,1.0
-0.21802455186843872,-1.0,1.0,1.0,1.0
-0.28581881523132324,-1.0,1.0,1.0,1.0
-0.28481751680374146,-1.0,1.0,1.0,1.0
-0.24302512407302856,-1.0,1.0,1.0,1.0
-0.18553170561790466,-1.0,1.0,1.0,1.0
-0.12385690212249756,-1.0,1.0,1.0,1.0
-0.06389059126377106,-1.0,1.0,1.0,1.0
-0.008261367678642273,-1.0,1.0,1.0,1.0
0.041768983006477356,-1.0,1.0,1.0,1.0
-0.8792374730110168,-0.779494047164917,1.0,1.0,1.0
-0.13743236660957336,-1.0,1.0,1.0,1.0
-0.45293664932250977,-1.0,1.0,1.0,1.0
-0.4584731459617615,-1.0,1.0,1.0,1.0
-0.4218248724937439,-1.0,1.0,1.0,1.0
-0.36661261320114136,-1.0,1.0,1.0,1.0
-0.30615735054016113,-1.0,1.0,1.0,1.0
-0.24689461290836334,-1.0,1.0,1.0,1.0
-0.1916523575782776,-1.0,1.0,1.0,1.0
-0.14173373579978943,-1.0,1.0,1.0,1.0
-0.0970977395772934,-1.0,1.0,1.0,1.0
-0.05718611180782318,-1.0,1.0,1.0,1.0
-0.021372690796852112,-1.0,1.0,1.0,1.0
0.010866716504096985,-1.0,1.0,1.0,1.0
-0.9557870626449585,-0.6825084686279297,1.0,1.0,1.0
-0.22914308309555054,-1.0,1.0,1.0,1.0
-0.2951957583427429,-1.0,1.0,1.0,1.0
-0.2926429212093353,-1.0,1.0,1.0,1.0
-0.24961309134960175,-1.0,1.0,1.0,1.0
-0.19108638167381287,-1.0,1.0,1.0,1.0
-0.12854495644569397,-1.0,1.0,1.0,1.0
-0.06784997880458832,-1.0,1.0,1.0,1.0
-0.011568501591682434,-1.0,1.0,1.0,1.0
0.03899787366390228,-1.0,1.0,1.0,1.0
-0.8812004327774048,-0.7790912985801697,1.0,1.0,1.0
-0.13930410146713257,-1.0,1.0,1.0,1.0
