month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
1.0,21.0,0.0,5493.65673828125,5641.453125,3643.22900390625,3643.237060546875,23.115999221801758,69.85529327392578,24.887374877929688,24.209272384643555,25.475683212280273,25.475679397583008,100.0,65.43475341796875,60.66847610473633,60.668495178222656,1436.197021484375,5170309.5
1.0,21.0,1.0,0.0,0.0,0.0,0.0,22.743999481201172,71.44336700439453,24.791364669799805,24.10924530029297,25.356721878051758,25.356719970703125,100.0,65.82649230957031,61.09483337402344,61.09484100341797,0.0,0.0
1.0,21.0,2.0,1355.37060546875,0.0,0.0,0.0,22.46500015258789,72.66118621826172,24.619022369384766,23.882259368896484,25.072250366210938,25.082555770874023,100.0,66.72799682617188,62.134098052978516,62.09596252441406,0.0,0.0
1.0,21.0,3.0,89.61883544921875,0.0,0.0,0.0,22.18600082397461,73.90239715576172,24.26572036743164,23.598237991333008,24.474735260009766,24.615177154541016,100.0,67.87621307373047,64.38726806640625,63.84858703613281,0.0,0.0
1.0,21.0,4.0,0.0,0.0,0.0,0.0,22.0,74.74317932128906,24.024099349975586,23.282655715942383,23.87790298461914,24.1534366607666,100.0,69.17851257324219,66.73062133789062,65.6353530883789,0.0,0.0
1.0,21.0,5.0,0.0,0.0,91.97345733642578,0.0,22.18600082397461,73.90239715576172,23.784744262695312,22.92682456970215,23.404521942138672,23.704734802246094,100.0,70.68131256103516,68.65763854980469,67.4264144897461,0.0,0.0
1.0,21.0,6.0,0.0,0.0,94.31262969970703,0.0,22.836999893188477,71.04257202148438,23.52997398376465,22.6254825592041,23.02915382385254,23.36820411682129,100.0,71.98294067382812,70.23084259033203,68.80630493164062,0.0,0.0
1.0,21.0,7.0,0.0,0.0,191.57730102539062,0.0,24.417999267578125,64.60233306884766,23.357255935668945,22.4509334564209,22.89324378967285,23.12385368347168,100.0,72.74962615966797,70.81116485595703,69.82962036132812,6.999680042266846,25198.84765625
1.0,21.0,8.0,0.0,0.0,157.7145233154297,0.0,26.184999465942383,58.17129135131836,23.223735809326172,22.326967239379883,22.801694869995117,22.929723739624023,100.0,73.30020904541016,71.20695495605469,70.65667724609375,0.0,0.0
1.0,21.0,9.0,0.0,0.0,142.95025634765625,0.0,27.766000747680664,53.02472686767578,23.13518714904785,22.25613021850586,22.728843688964844,22.792829513549805,100.0,73.6180419921875,71.52613830566406,71.24913024902344,0.0,0.0
1.0,21.0,10.0,0.0,0.0,132.06370544433594,0.0,29.160999298095703,48.90790557861328,23.082075119018555,22.22157096862793,22.680036544799805,22.702600479125977,100.0,73.7751693725586,71.74374389648438,71.64559173583984,0.0,0.0
1.0,21.0,11.0,0.0,0.0,122.73814392089844,0.0,30.090999603271484,46.36429214477539,23.051624298095703,22.206396102905273,22.649356842041016,22.64274024963379,100.0,73.84605407714844,71.88380432128906,71.91268157958984,0.0,0.0
1.0,21.0,12.0,0.0,0.0,114.88078308105469,0.0,30.834999084472656,44.436912536621094,23.03799057006836,22.204265594482422,22.6333065032959,22.605886459350586,100.0,73.85870361328125,71.96054077148438,72.08042907714844,0.0,0.0
1.0,21.0,13.0,0.0,0.0,108.33837127685547,0.0,31.299999237060547,43.27839279174805,23.034101486206055,22.20781707763672,22.62508201599121,22.58301544189453,100.0,73.84598541259766,72.0030288696289,72.1871566772461,0.0,0.0
