energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
,,,,,,,
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.3562307343928027,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.28610584486855173,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.16409334511415952,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0473659181857401,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.062478553895356614,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.14979443500255896,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20940283134014925,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.2582412241340241,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.289171419102538,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.31119422704482874,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3268322149934501,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.33694909219823915,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3439342787901212,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.35124602056064763,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3627119627246498,4.556
-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.3786689586636851,4.556
-0.0,-0.5702860121017075,-0.0,-0.045622880968136596,0.0,0.045622880968136596,-0.4027781514111443,11.493
-0.0,-1.5161970538123366,-0.0,-0.12129576430498692,0.0,0.12129576430498692,-0.43476957660790694,11.493
-0.0,-2.5941040519147647,-0.0,-0.20752832415318118,0.0,0.20752832415318118,-0.4696745039740537,11.493
-0.0,-3.7540563362574177,-0.0,-0.3003245069005934,0.0,0.3003245069005934,-0.5054668201595431,11.493
-0.0,-5.008679603193763,-0.0,-0.40069436825550103,0.0,0.40069436825550103,-0.5422690546567321,11.493
-1.6551372834896532,-5.8865277118380295,-3.3102745669793063,-0.4709222169470424,726.5747513124026,0.4709222169470424,-0.5705122697441243,4.556
-2.764276776209418,-5.0308418781665365,-5.528553552418836,-0.4024673502533229,1213.4665391612896,0.4024673502533229,-0.5654727528259403,4.556
-3.047821482546821,-32.96172204605467,-6.095642965093642,-2.636937763684373,1337.937437465681,2.636937763684373,-1.057421464827472,4.556
-3.620853472704776,-59.08536961550968,-7.241706945409552,-4.726829569240774,1589.4879160249236,4.726829569240774,-1.3388623790821423,4.556
-3.542225452306908,-66.08688170600594,-7.084450904613816,-5.286950536480475,1554.971664752813,5.286950536480475,-1.4110066509376715,4.556
-3.561121763534892,-68.39571295490539,-7.122243527069784,-5.471657036392431,1563.2667969863444,5.471657036392431,-1.435788015795507,4.556
-3.5710724908602205,-70.98856833645245,-7.142144981720441,-5.679085466916195,1567.6349828183584,5.679085466916195,-1.4613344253024865,4.556
