episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-44.12202052078786,55.21571915944929,-41.74815648499669,55.01007029155785,-2.373864035791173,2.2049956869128993,-3.3398525187997357,4.400805623324628,-4.747728071582346,4.4099913738257985,3.3398525187997357,4.400805623324628,868.2481066220761,666.9072993368922,7604985.165902765,83.93652243406781,8759,7512.0,False,False
2,-40.0427028817357,49.72168045907958,-37.746323719767524,49.394139618284356,-2.2963791619681833,2.2027749798214282,-3.0197058975814017,3.951531169462749,-4.5927583239363665,4.4055499596428565,3.0197058975814017,3.951531169462749,844.6165943304985,676.1756142382616,7397996.749740836,84.76995090763786,8759,7512.5,False,False
3,-36.729873565844606,44.05888574255201,-34.40709448621726,43.68119692323115,-2.3227790796273426,2.240112876704209,-2.7525675588973817,3.4944957538584918,-4.645558159254685,4.480225753408418,2.7525675588973817,3.4944957538584918,848.1541853484945,681.8526845227719,7428982.509467463,85.85454960611942,8759,7512.0,False,False
4,-34.04972977341239,41.05031144083464,-31.7218558541206,40.65468306144471,-2.327873919291781,2.2618488896672297,-2.537748468329648,3.252374644915577,-4.655747838583562,4.5236977793344595,2.537748468329648,3.252374644915577,845.2602801121676,678.1338522591726,7403634.793502476,87.37298778399361,8759,7512.5,False,False
5,-32.193722575523,37.605102523978694,-29.86812516715691,37.15622689233924,-2.3255974083660997,2.250295083900057,-2.3894500133725525,2.9724981513871387,-4.6511948167321995,4.500590167800114,2.3894500133725525,2.9724981513871387,847.5329769877483,680.8686472323488,7423541.345435687,87.5556570384747,8759,7512.5,False,False
6,-30.85368669343229,36.00301675285157,-28.465879638045806,35.52795212040807,-2.3878070553864816,2.257045425552662,-2.2772703710436644,2.8422361696326455,-4.775614110772963,4.514090851105324,2.2772703710436644,2.8422361696326455,871.0596027225712,677.3462720600317,7629611.060247001,88.67450622217147,8759,7824.333333333333,False,False
7,-28.83620465696759,34.157164898835646,-26.46870935470066,33.642833831830465,-2.3674953022669287,2.289226789639415,-2.1174967483760527,2.6914267065464377,-4.7349906045338575,4.57845357927883,2.1174967483760527,2.6914267065464377,857.7726913466039,682.7559368479774,7513231.003504904,88.27491722799407,8759,7512.0,False,False
8,-27.226867414051146,32.383345796370435,-24.877899224559748,31.810741096625247,-2.348968189491399,2.2901888875587852,-1.99023193796478,2.5448592877300196,-4.697936378982798,4.5803777751175705,1.99023193796478,2.5448592877300196,852.7387881762893,685.4831013845892,7469139.045636118,89.05126155953876,8759,7512.333333333333,False,False
9,-26.16245613864874,30.53179431433045,-23.727770173662723,29.993975008420097,-2.434685964986016,2.296363576322508,-1.8982216138930181,2.3995180006736074,-4.869371929972032,4.592727152645016,1.8982216138930181,2.3995180006736074,879.9548128389021,677.8083338647148,7707524.205655944,88.06941431670282,8759,7896.333333333333,False,False
10,-24.165457934040557,29.079936357453875,-21.770991407643685,28.521430479432894,-2.3944665263968683,2.2763030036443426,-1.7416793126114951,2.2817144383546317,-4.788933052793737,4.552606007288685,1.7416793126114951,2.2817144383546317,871.0284970658322,679.697772228507,7629338.605799624,87.13323438748716,8759,7584.5,False,False
