electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.01621609926223755,-0.16582000255584717,-0.04490458965301514,0.07717344164848328,0.43235522508621216
1.0,0.6076629161834717,0.618987500667572,-0.7090610265731812,-1.0
1.0,-1.0,-0.30859535932540894,-1.0,-1.0
0.014473915100097656,-1.0,0.6861557960510254,-1.0,-1.0
0.186753511428833,0.031190156936645508,1.0,-1.0,-1.0
1.0,0.2604377865791321,1.0,-1.0,-0.9368783235549927
1.0,-0.31309789419174194,0.7225444912910461,-1.0,-1.0
1.0,0.9531803131103516,0.0676950216293335,-1.0,-0.6367276310920715
-1.0,1.0,-0.1849672794342041,-1.0,-1.0
1.0,0.18032675981521606,-1.0,-1.0,-1.0
-0.9738309979438782,1.0,-1.0,-1.0,-1.0
0.37271031737327576,1.0,-1.0,-0.6293950080871582,-1.0
-0.10647135972976685,1.0,-0.6685184836387634,-1.0,-1.0
0.0005721747875213623,-0.05502498149871826,-0.5036208629608154,-1.0,-1.0
0.7666521072387695,-0.6973810791969299,-1.0,-1.0,-1.0
0.008390635251998901,1.0,-0.3560181260108948,-1.0,-0.5311896204948425
0.407257616519928,1.0,-0.44792452454566956,-0.42530182003974915,-1.0
-0.5161108374595642,1.0,-1.0,-0.2959955930709839,-1.0
-0.8740582466125488,-0.0034736990928649902,-1.0,0.07584989070892334,-0.7696319222450256
-0.5676352977752686,1.0,0.35920947790145874,-0.37029221653938293,-0.46949052810668945
-1.0,-0.06252330541610718,1.0,0.4333881735801697,0.4656423032283783
-0.31810426712036133,1.0,-0.81051105260849,-0.7637277245521545,0.5159279704093933
-1.0,-0.982947826385498,-0.5387628078460693,-0.10831347107887268,-0.020492374897003174
-0.44022905826568604,-1.0,-0.9105570316314697,-0.24797514081001282,-0.06244927644729614
-1.0,-0.012093487195670605,1.0,1.0,1.0
-1.0,1.0,1.0,0.604735791683197,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.5347133874893188,-0.369442880153656,1.0,1.0,1.0
-0.08156019449234009,-1.0,1.0,0.8675013184547424,1.0
-1.0,-0.423936128616333,1.0,0.47626447677612305,1.0
-0.6221796274185181,-1.0,1.0,1.0,1.0
-0.7754728198051453,-1.0,1.0,1.0,1.0
0.33843886852264404,-1.0,1.0,1.0,1.0
-0.49546778202056885,-0.02785181999206543,1.0,1.0,1.0
-0.2284354865550995,-1.0,1.0,1.0,1.0
-0.4177584946155548,-0.5806981325149536,1.0,1.0,1.0
0.1761673092842102,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
0.08258938789367676,-1.0,1.0,1.0,1.0
-0.9960627555847168,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.7645627856254578,-0.42690587043762207,1.0,1.0,1.0
-0.7001804113388062,-1.0,1.0,1.0,1.0
-0.6008913516998291,-1.0,1.0,1.0,1.0
-0.17031344771385193,-1.0,1.0,1.0,1.0
-0.44862011075019836,-1.0,1.0,1.0,1.0
-0.788434624671936,-1.0,0.08584558963775635,1.0,1.0
0.8178631663322449,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
0.11023673415184021,-1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0
-0.3278047442436218,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
0.8474313616752625,-1.0,1.0,1.0,1.0
-1.0,-0.19210600852966309,1.0,1.0,1.0
-0.05124872922897339,-0.9878224730491638,1.0,1.0,1.0
-0.5626709461212158,-1.0,1.0,1.0,1.0
0.21744763851165771,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.0599173903465271,-1.0,1.0,1.0,1.0
-0.6556955575942993,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.5889719128608704,-1.0,1.0,1.0,1.0
-0.24951589107513428,-1.0,1.0,1.0,1.0
-0.44012728333473206,-1.0,1.0,1.0,1.0
-0.001332014799118042,-1.0,0.8370165824890137,1.0,1.0
0.18304842710494995,-1.0,1.0,1.0,1.0
