electrovalve_north,electrovalve_south,electrovalve_east,electrovalve_west,bomba
-0.4592888355255127,-0.006904812064021826,-0.46659988164901733,-0.05475279688835144,-0.8623851537704468
-0.14148075878620148,-0.5315043330192566,-0.3079047203063965,-1.0,-1.0
-0.21848107874393463,-0.5238789319992065,-0.2610982060432434,-1.0,-1.0
-0.3592054843902588,-0.4633740782737732,-0.1494840830564499,-1.0,-1.0
-0.48175060749053955,-0.39186498522758484,-0.038605764508247375,-0.9333213567733765,-1.0
-0.5847315192222595,-0.2696402966976166,0.06648951023817062,-0.8246170282363892,-1.0
-0.5733669400215149,-0.09183303266763687,0.21589671075344086,-0.7751834392547607,-1.0
-0.6213025450706482,0.15343442559242249,0.20146799087524414,-0.8368196487426758,-1.0
-0.6400547027587891,0.3904602527618408,0.14036940038204193,-0.9076257944107056,-1.0
-0.6380606293678284,0.562648355960846,0.10028213262557983,-0.9689924716949463,-1.0
-0.6182307004928589,0.6853414177894592,0.07013227045536041,-1.0,-1.0
-0.6002296805381775,0.750269889831543,0.053522780537605286,-1.0,-1.0
-0.5802481770515442,0.7900063395500183,0.041107356548309326,-1.0,-1.0
-0.5646529793739319,0.8037660121917725,0.035949692130088806,-1.0,-1.0
-0.5628640651702881,0.7849808931350708,0.045498818159103394,-1.0,-1.0
-0.5803945660591125,0.7310261726379395,0.07598790526390076,-0.9830976724624634,-0.8977506160736084
-0.6024200916290283,0.6692003607749939,0.11640167236328125,-0.8981047868728638,-0.7544152736663818
-0.48851948976516724,0.7544564008712769,0.03815767168998718,-0.7014830112457275,-0.4986419081687927
-0.2156965583562851,1.0,-0.26618093252182007,-0.2965279221534729,-0.07386472821235657
-0.8812962770462036,0.3779616951942444,0.032075971364974976,-0.5007107257843018,-0.38678860664367676
-0.42387741804122925,0.8343316912651062,-0.5692399740219116,-0.019243881106376648,0.05439579486846924
-1.0,0.20708602666854858,-0.32954663038253784,-0.2547810673713684,-0.3921424150466919
-1.0,0.13776862621307373,-0.3882073163986206,-0.13976235687732697,-0.2920570373535156
-1.0,0.0691838338971138,-0.2875353693962097,-0.015165641903877258,-0.045205771923065186
-0.8782705664634705,-0.0904369130730629,1.0,0.28577959537506104,1.0
-0.5188683867454529,0.24010658264160156,1.0,0.4856111407279968,1.0
-0.6427626013755798,0.013219671323895454,1.0,0.7033786773681641,1.0
-0.6437124609947205,-0.21897651255130768,1.0,0.8282732367515564,1.0
-0.6402643918991089,-0.5968487858772278,1.0,1.0,1.0
-0.5973284244537354,-1.0,1.0,1.0,1.0
-0.5234707593917847,-1.0,1.0,1.0,1.0
-0.4392862915992737,-1.0,1.0,1.0,1.0
-0.3551211953163147,-1.0,1.0,1.0,1.0
-0.26902663707733154,-1.0,1.0,1.0,1.0
-0.20313327014446259,-1.0,1.0,1.0,1.0
-0.15477342903614044,-1.0,1.0,1.0,1.0
-0.11105482280254364,-1.0,1.0,1.0,1.0
-0.07119426131248474,-1.0,1.0,1.0,1.0
-0.036431580781936646,-1.0,1.0,1.0,1.0
-0.006937995553016663,-1.0,1.0,1.0,1.0
0.01822836697101593,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.19053363800048828,-1.0,1.0,1.0,1.0
-0.25892528891563416,-1.0,1.0,1.0,1.0
-0.2642039358615875,-1.0,1.0,1.0,1.0
-0.23407718539237976,-1.0,1.0,1.0,1.0
-0.1902569681406021,-1.0,1.0,1.0,1.0
-0.14397868514060974,-1.0,1.0,1.0,1.0
-0.202378511428833,-1.0,1.0,1.0,1.0
-0.17300820350646973,-1.0,1.0,1.0,1.0
-0.14705787599086761,-1.0,1.0,1.0,1.0
-0.12449212372303009,-1.0,1.0,1.0,1.0
-0.10506273806095123,-1.0,1.0,1.0,1.0
-0.08834110200405121,-1.0,1.0,1.0,1.0
-0.07389183342456818,-1.0,1.0,1.0,1.0
-0.06128557026386261,-1.0,1.0,1.0,1.0
-0.05014047026634216,-1.0,1.0,1.0,1.0
-0.04013165831565857,-1.0,1.0,1.0,1.0
-0.030994176864624023,-1.0,1.0,1.0,1.0
-0.02250051498413086,-1.0,1.0,1.0,1.0
-0.01445816457271576,-1.0,1.0,1.0,1.0
-0.006704509258270264,-1.0,1.0,1.0,1.0
0.0008912086486816406,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.24828636646270752,-1.0,1.0,1.0,1.0
-0.32028767466545105,-1.0,1.0,1.0,1.0
-0.32879751920700073,-1.0,1.0,1.0,1.0
-0.301579087972641,-1.0,1.0,1.0,1.0
-0.25976982712745667,-1.0,1.0,1.0,1.0
-0.21323449909687042,-1.0,1.0,1.0,1.0
-0.16719110310077667,-1.0,1.0,1.0,1.0
-0.12445546686649323,-1.0,1.0,1.0,1.0
-0.1796899288892746,-1.0,1.0,1.0,1.0
-0.15749657154083252,-1.0,1.0,1.0,1.0
-0.13819707930088043,-1.0,1.0,1.0,1.0
-0.12140268087387085,-1.0,1.0,1.0,1.0
-0.10674870014190674,-1.0,1.0,1.0,1.0
-0.09383399784564972,-1.0,1.0,1.0,1.0
-0.08231835067272186,-1.0,1.0,1.0,1.0
-0.07188665866851807,-1.0,1.0,1.0,1.0
-0.06232656538486481,-1.0,1.0,1.0,1.0
-0.05342201888561249,-1.0,1.0,1.0,1.0
-0.044997647404670715,-1.0,1.0,1.0,1.0
-0.03687930107116699,-1.0,1.0,1.0,1.0
-0.028935179114341736,-1.0,1.0,1.0,1.0
-0.021063730120658875,-1.0,1.0,1.0,1.0
-0.013180822134017944,-1.0,1.0,1.0,1.0
-0.005221083760261536,-1.0,1.0,1.0,1.0
0.0028671175241470337,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.24504739046096802,-1.0,1.0,1.0,1.0
-0.3163844347000122,-1.0,1.0,1.0,1.0
-0.32389163970947266,-1.0,1.0,1.0,1.0
-0.2955106496810913,-1.0,1.0,1.0,1.0
-0.25249555706977844,-1.0,1.0,1.0,1.0
-0.20477059483528137,-1.0,1.0,1.0,1.0
-0.24644245207309723,-1.0,1.0,1.0,1.0
-0.21608902513980865,-1.0,1.0,1.0,1.0
-0.1891835629940033,-1.0,1.0,1.0,1.0
-0.16557690501213074,-1.0,1.0,1.0,1.0
-0.1448834091424942,-1.0,1.0,1.0,1.0
-0.12673790752887726,-1.0,1.0,1.0,1.0
-0.11070407927036285,-1.0,1.0,1.0,1.0
-0.09640224277973175,-1.0,1.0,1.0,1.0
-0.0835038423538208,-1.0,1.0,1.0,1.0
-0.07169763743877411,-1.0,1.0,1.0,1.0
-0.06077171862125397,-1.0,1.0,1.0,1.0
-0.05053837597370148,-1.0,1.0,1.0,1.0
-0.04078374803066254,-1.0,1.0,1.0,1.0
-0.03135275840759277,-1.0,1.0,1.0,1.0
-0.02212633192539215,-1.0,1.0,1.0,1.0
-0.013007909059524536,-1.0,1.0,1.0,1.0
-0.003919005393981934,-1.0,1.0,1.0,1.0
0.0051999688148498535,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.2407504916191101,-1.0,1.0,1.0,1.0
-0.3113614320755005,-1.0,1.0,1.0,1.0
-0.31813448667526245,-1.0,1.0,1.0,1.0
-0.2890646457672119,-1.0,1.0,1.0,1.0
-0.2454236000776291,-1.0,1.0,1.0,1.0
-0.2837306261062622,-1.0,1.0,1.0,1.0
-0.2500816583633423,-1.0,1.0,1.0,1.0
-0.21899184584617615,-1.0,1.0,1.0,1.0
-0.19137872755527496,-1.0,1.0,1.0,1.0
-0.16708873212337494,-1.0,1.0,1.0,1.0
-0.14572718739509583,-1.0,1.0,1.0,1.0
-0.12692615389823914,-1.0,1.0,1.0,1.0
-0.11024665832519531,-1.0,1.0,1.0,1.0
-0.09530678391456604,-1.0,1.0,1.0,1.0
-0.08177922666072845,-1.0,1.0,1.0,1.0
-0.06937755644321442,-1.0,1.0,1.0,1.0
-0.05783025920391083,-1.0,1.0,1.0,1.0
-0.04698993265628815,-1.0,1.0,1.0,1.0
-0.03664557635784149,-1.0,1.0,1.0,1.0
-0.026642262935638428,-1.0,1.0,1.0,1.0
-0.01686149835586548,-1.0,1.0,1.0,1.0
-0.007208436727523804,-1.0,1.0,1.0,1.0
0.0023917704820632935,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.24252943694591522,-1.0,1.0,1.0,1.0
-0.31288135051727295,-1.0,1.0,1.0,1.0
-0.31942272186279297,-1.0,1.0,1.0,1.0
-0.29016751050949097,-1.0,1.0,1.0,1.0
-0.24637140333652496,-1.0,1.0,1.0,1.0
-0.2844778895378113,-1.0,1.0,1.0,1.0
-0.2507280111312866,-1.0,1.0,1.0,1.0
-0.21954461932182312,-1.0,1.0,1.0,1.0
-0.1918535679578781,-1.0,1.0,1.0,1.0
-0.1674986332654953,-1.0,1.0,1.0,1.0
-0.14608314633369446,-1.0,1.0,1.0,1.0
-0.1272355169057846,-1.0,1.0,1.0,1.0
-0.1105162650346756,-1.0,1.0,1.0,1.0
-0.09554211795330048,-1.0,1.0,1.0,1.0
-0.08198463916778564,-1.0,1.0,1.0,1.0
-0.06955765187740326,-1.0,1.0,1.0,1.0
-0.05798839032649994,-1.0,1.0,1.0,1.0
-0.04712899029254913,-1.0,1.0,1.0,1.0
-0.036767929792404175,-1.0,1.0,1.0,1.0
-0.026749879121780396,-1.0,1.0,1.0,1.0
-0.0169561505317688,-1.0,1.0,1.0,1.0
-0.007292464375495911,-1.0,1.0,1.0,1.0
0.002316579222679138,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0
-0.24258190393447876,-1.0,1.0,1.0,1.0
-0.3129287362098694,-1.0,1.0,1.0,1.0
-0.31946492195129395,-1.0,1.0,1.0,1.0
