,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
0,1,-39.305166531989215,49.2116411862683,-38.8905610709046,49.1161331802455,-0.4146054610846185,1.1933460680667671,-3.1112448856723676,3.9292906544196398,-0.829210922169237,2.3866921361335343,3.1112448856723676,3.9292906544196398,137.73761372252434,337.98453231604975,1315669.6862775525,94.16876046901173,9552.0,8760.5,0.0,1.0
1,2,-24.077875861500416,28.608783851200172,-23.19214489366169,28.287326442022575,-0.8857309678387283,1.6799738106021715,-1.8553715914929347,2.262986115361806,-1.7714619356774566,3.359947621204343,1.8553715914929347,2.262986115361806,298.89389412505267,488.56146156634475,2718738.860961479,93.28276165347405,9096.0,8760.5,0.0,1.0
2,3,-12.963034011135022,14.611038774629298,-11.66119678327993,13.932100466881858,-1.301837227855093,1.7681202492205004,-0.9328957426623942,1.1145680373505487,-2.603674455710186,3.5362404984410007,0.9328957426623942,1.1145680373505487,489.1058475254975,581.9403526695801,4448906.789091925,87.93975373790677,9096.0,8760.5,0.0,1.0
3,4,-11.520341462941422,13.077310317262988,-10.075838793069599,12.303212110960846,-1.4445026698718277,1.9000753285337924,-0.8060671034455676,0.9842569688768676,-2.8890053397436555,3.8001506570675847,0.8060671034455676,0.9842569688768676,524.3465682721347,585.7334637743807,4769456.385003338,89.62181178540017,9096.0,8760.5,0.0,1.0
4,5,-11.1151415636821,13.609956104932621,-9.691171700515206,12.681865083240371,-1.4239698631668958,1.8737474499439004,-0.7752937360412163,1.0145492066592297,-2.8479397263337916,3.747494899887801,0.7752937360412163,1.0145492066592297,521.8953916862474,592.2022994587097,4747160.482778107,88.51143359718557,9096.0,8760.5,0.0,1.0
5,6,-10.612767998606184,13.228387212449288,-9.02091920883,12.389815768387468,-1.5918487897761868,1.9367676618484924,-0.7216735367063999,0.9911852614709973,-3.1836975795523736,3.8735353236969847,0.7216735367063999,0.9911852614709973,584.5109104673688,601.4211984949999,5316711.241611186,85.34520668425681,9096.0,8760.5,0.0,1.0
6,7,-10.25075700475427,12.850501123904218,-8.577541576429804,12.137351040665292,-1.6732154283244633,1.937736292722398,-0.6862033261143844,0.9709880832532234,-3.3464308566489267,3.875472585444796,0.6862033261143844,0.9709880832532234,608.0213864951997,587.628298589052,5530562.531560337,84.94942832014073,9096.0,8760.5,0.0,1.0
7,8,-10.385982743384368,13.606969297239512,-8.712187873540575,12.901532933721981,-1.6737948698437934,1.8947933952525942,-0.6969750298832461,1.0321226346977581,-3.347589739687587,3.7895867905051883,0.6969750298832461,1.0321226346977581,613.3139876221057,580.6951419941809,5578704.031410674,83.82805628847845,9096.0,8760.5,0.0,1.0
8,9,-10.42668540266791,14.708026289474047,-8.748318054090976,14.048823973069645,-1.6783673485769344,1.8997111257881494,-0.699865444327278,1.1239059178455717,-3.3567346971538687,3.7994222515762988,0.699865444327278,1.1239059178455717,618.5190531616397,588.8325330648549,5626049.307558275,84.89445910290237,9096.0,8760.5,0.0,1.0
9,10,-10.045841767543632,12.998979776773863,-8.361533979351485,12.278153958910258,-1.6843077881921467,1.908776268999671,-0.6689227183481188,0.9822523167128203,-3.3686155763842933,3.817552537999342,0.6689227183481188,0.9822523167128203,614.0136129308222,579.4409443587249,5585067.823218759,84.98240985048373,9096.0,8760.5,0.0,1.0
10,11,-9.588450487683817,12.331261489298097,-7.782218316069153,11.663312181241581,-1.8062321716146645,1.9267580426934652,-0.6225774652855323,0.9330649744993266,-3.612464343229329,3.8535160853869304,0.6225774652855323,0.9330649744993266,663.6713623194473,589.0309313229664,6036754.711657693,81.93711521547932,9096.0,8760.5,0.0,1.0
11,12,-9.382328060942537,12.252640198559439,-7.616941175744412,11.59601520279799,-1.7653868851981243,1.9436454212215342,-0.6093552940595531,0.927681216223839,-3.5307737703962485,3.8872908424430683,0.6093552940595531,0.927681216223839,640.8416258295699,581.4089385526363,5829095.428545768,83.36631486367634,9096.0,8760.5,0.0,1.0
12,13,-9.269476246632735,12.117240692583078,-7.454403470468095,11.45645074175838,-1.815072776164639,1.9664668604811502,-0.5963522776374476,0.9165160593406703,-3.630145552329278,3.9329337209623003,0.5963522776374476,0.9165160593406703,656.388264670801,583.5663352291124,5970507.655445606,82.50879507475814,9096.0,8760.5,0.0,1.0
13,14,-9.462728698570567,12.366197078567497,-7.61028471076509,11.733793913285885,-1.8524439878054784,1.9779278721285547,-0.6088227768612073,0.9387035130628707,-3.7048879756109567,3.9558557442571094,0.6088227768612073,0.9387035130628707,665.9736197029513,578.5584416126627,6057696.044818045,81.54133685136323,9096.0,8760.5,0.0,1.0
14,15,-9.364005974564419,12.446572959746549,-7.558163231003774,11.785883903107948,-1.8058427435606446,1.9591236166481913,-0.6046530584803019,0.9428707122486357,-3.611685487121289,3.9182472332963827,0.6046530584803019,0.9428707122486357,653.9898502975234,582.9721032585077,5948691.678306273,81.98109058927001,9096.0,8760.5,0.0,1.0
15,16,-9.105473772629324,12.305396557004476,-7.320260787298972,11.637973377487091,-1.785212985330351,1.9839603486534003,-0.5856208629839179,0.9310378701989672,-3.570425970660702,3.9679206973068006,0.5856208629839179,0.9310378701989672,637.970244632051,583.0181968744012,6093891.776725352,81.79438860971524,9552.0,8760.5,0.0,1.0
16,17,-9.08617336543311,12.16374296105191,-7.217896820816437,11.56357293432305,-1.8682765446166727,1.9864559321186503,-0.577431745665315,0.9250858347458439,-3.7365530892333454,3.9729118642373007,0.577431745665315,0.9250858347458439,676.5414987109706,585.4576389561297,6462324.395687191,80.43341708542714,9552.0,8760.5,0.0,1.0
17,18,-9.39871964228379,12.147058550018983,-7.437940137920829,11.613478401125736,-1.9607795043629632,2.0012583695087924,-0.5950352110336663,0.9290782720900588,-3.9215590087259264,4.002516739017585,0.5950352110336663,0.9290782720900588,709.5114469959237,582.9724190463367,6453716.121874922,81.09058927000879,9096.0,8760.5,0.0,1.0
18,19,-9.322033981854988,12.197840755400291,-7.4095621843842965,11.589051731536271,-1.9124717974706935,2.0301162113905606,-0.5927649747507436,0.9271241385229018,-3.824943594941387,4.060232422781121,0.5927649747507436,0.9271241385229018,683.9084636706657,585.4244277150977,6220831.385548376,81.95910290237467,9096.0,8760.333333333334,0.0,1.0
19,20,-8.876484637042102,11.918628934889275,-6.959193677728177,11.313871441839494,-1.9172909593139258,2.0288178907257763,-0.5567354942182541,0.9051097153471594,-3.8345819186278516,4.057635781451553,0.5567354942182541,0.9051097153471594,683.9721442059379,584.6575612163798,6533301.921455119,79.13525963149078,9552.0,8760.333333333334,0.0,1.0
20,21,-9.288414237605002,12.16001132998786,-7.404417212271643,11.536532308289683,-1.8839970253333587,1.992018354979534,-0.5923533769817314,0.9229225846631746,-3.7679940506667173,3.984036709959068,0.5923533769817314,0.9229225846631746,680.3685499077361,586.2561487259428,6188632.329960767,81.2005277044855,9096.0,8760.333333333334,0.0,1.0
21,22,-9.331211171882428,12.071771833812669,-7.416990226657822,11.471998868527571,-1.9142209452246075,1.9785233989056132,-0.5933592181326257,0.9177599094822056,-3.828441890449215,3.9570467978112265,0.5933592181326257,0.9177599094822056,693.7443539831779,582.2972333482618,6310298.643830987,81.66226912928761,9096.0,8760.333333333334,0.0,1.0
22,23,-9.185439790009523,11.863324720640328,-7.233769639404793,11.286555816784073,-1.9516701506047303,2.0155049326183154,-0.5787015711523833,0.9029244653427257,-3.9033403012094605,4.031009865236631,0.5787015711523833,0.9029244653427257,702.7527733106925,587.4329498677921,6409105.2925935155,81.38157894736841,9120.0,8760.333333333334,0.0,1.0
23,24,-9.132734430640646,11.87172663223035,-7.142671782491046,11.362631424279622,-1.9900626481495984,2.0192156463974045,-0.5714137425992838,0.9090105139423698,-3.980125296299197,4.038431292794809,0.5714137425992838,0.9090105139423698,713.0381234190078,584.1649726541048,6810940.154898362,79.75293132328308,9552.0,8760.333333333334,0.0,1.0
24,25,-9.11150887252,11.57495614821701,-7.1632904330891565,10.980541725491264,-1.9482184394308433,2.0013454446725287,-0.5730632346471326,0.8784433380393009,-3.8964368788616865,4.0026908893450575,0.5730632346471326,0.8784433380393009,703.3759724626876,587.0523554501476,6397907.845520606,82.37686895338611,9096.0,8760.333333333334,0.0,1.0
25,26,-8.780459463702966,11.761249790357574,-6.867065506202776,11.182817513022227,-1.9133939575001915,2.0372848372705445,-0.549365240496222,0.8946254010417782,-3.826787915000383,4.074569674541089,0.549365240496222,0.8946254010417782,683.0384110436528,590.2114963412339,6524382.9022889715,83.45896147403685,9552.0,8760.333333333334,0.0,1.0
26,27,-9.037640113797687,11.701172676625593,-7.062510302116417,11.14418212578393,-1.975129811681272,2.0110304742470673,-0.5650008241693134,0.8915345700627142,-3.950259623362544,4.0220609484941345,0.5650008241693134,0.8915345700627142,713.5252902936635,586.4515067274274,6541599.861412307,80.66099476439791,9168.0,8760.333333333334,0.0,1.0
27,28,-9.428096287071448,12.045054215718512,-7.4367303771466675,11.50884278889581,-1.991365909924781,1.9741996097784957,-0.5949384301717335,0.9207074231116648,-3.982731819849562,3.9483992195569915,0.5949384301717335,0.9207074231116648,723.7918874464834,577.7362650217202,6583611.008213214,80.72779243623572,9096.0,8760.333333333334,0.0,1.0
28,29,-9.121288714475003,11.942950034942845,-7.166859415812577,11.370509895666792,-1.9544292986624272,1.999881774958314,-0.5733487532650061,0.9096407916533434,-3.9088585973248544,3.999763549916628,0.5733487532650061,0.9096407916533434,705.3404812547636,584.129601357049,6415777.01749333,80.38698328935796,9096.0,8760.333333333334,0.0,1.0
29,30,-9.287626598980356,11.848700024209188,-7.2736886700999674,11.327813322674507,-2.01393792888039,1.9939735245315071,-0.5818950936079973,0.9062250658139605,-4.02787585776078,3.9879470490630142,0.5818950936079973,0.9062250658139605,728.3657566390292,578.6047826682808,6625214.9223886095,80.38698328935796,9096.0,8760.333333333334,0.0,1.0
30,31,-9.122101052538879,11.81620116889969,-7.132518272805369,11.27090903356994,-1.9895827797335113,2.001469491058546,-0.5706014618244294,0.9016727226855952,-3.9791655594670226,4.002938982117092,0.5706014618244294,0.9016727226855952,716.761665247233,580.4097047173833,6519664.107088832,81.10158311345647,9096.0,8760.333333333334,0.0,1.0
31,32,-8.670831907262057,11.685267924086967,-6.752404910508292,11.106977295157686,-1.9184269967537664,2.014374580353855,-0.5401923928406633,0.8885581836126147,-3.8368539935075328,4.02874916070771,0.5401923928406633,0.8885581836126147,685.7421094122308,586.6697542941669,6550208.6291056285,81.25,9552.0,8760.333333333334,0.0,1.0
32,33,-9.020436225455004,11.476295031818932,-7.0490135720185245,10.904683706952728,-1.9714226534364812,2.0087567166734663,-0.5639210857614818,0.8723746965562182,-3.9428453068729623,4.017513433346933,0.5639210857614818,0.8723746965562182,708.0764996989718,581.5503263692065,6440663.841261848,81.95910290237467,9096.0,8760.333333333334,0.0,1.0
33,34,-9.147268738551556,11.740523273473192,-7.143487746258213,11.21151685511411,-2.0037809922933434,1.998475795473335,-0.571479019700657,0.896921348409129,-4.007561984586687,3.99695159094667,0.571479019700657,0.896921348409129,723.9382020507622,581.0449046478634,6584941.885853733,81.65127528583993,9096.0,8760.333333333334,0.0,1.0
34,35,-9.122655304396812,11.611984923928297,-7.0971042687173105,11.10635749295152,-2.0255510356794995,2.021154151193888,-0.5677683414973849,0.8885085994361218,-4.051102071358999,4.042308302387776,0.5677683414973849,0.8885085994361218,727.2305993215444,580.8081170691356,6614889.531428768,81.2994722955145,9096.0,8760.333333333334,0.0,1.0
